iter	Passed	Remaining
212	134782	498000
213	135374	497215
214	135970	496450
215	136560	495662
216	137158	494909
217	137769	494199
218	138374	493472
219	138988	492777
220	139596	492062
221	140214	491381
222	140856	490785
223	141460	490061
224	142061	489321
225	142659	488576
226	143288	487938
227	143891	487210
228	144474	486418
229	145094	485750
230	145693	485012
231	146302	484310
232	146894	483553
233	147525	482926
234	148125	482197
235	148716	481439
236	149336	480775
237	149941	480063
238	150562	479406
239	151158	478669
240	151754	477933
241	152338	477160
242	152938	476436
243	153529	475689
244	154149	475031
245	154760	474346
246	155387	473712
247	156019	473090
248	156629	472405
249	157217	471652
250	157810	470915
251	158419	470229
252	159021	469521
253	159628	468831
254	160224	468107
255	160852	467477
256	161484	466859
257	162085	466151
258	162687	465450
259	163277	464713
260	163882	464019
261	164477	463300
262	165092	462636
263	165714	461990
264	166348	461380
265	166992	460800
266	167618	460167
267	168211	459442
268	168803	458719
269	169410	458037
270	170015	457347
271	170640	456715
272	171239	456010
273	171837	455306
274	172434	454600
275	173070	453995
276	173669	453294
277	174254	452559
278	174853	451861
279	175449	451156
280	176050	450463
281	176655	449783
282	177278	449146
283	177886	448473
284	178473	447750
285	179079	447073
286	179700	446433
287	180328	445811
288	180947	445167
289	181556	444500
290	182157	443814
291	182775	443167
292	183375	442480
293	183969	441778
294	184566	441082
295	185155	440370
296	185770	439719
297	186362	439015
298	186959	438324
299	187575	437676
300	188180	437004
301	188806	436381
302	189409	435703
303	190055	435128
304	190684	434511
305	191279	433816
306	191885	433148
307	192478	432451
308	193109	431840
309	193742	431233
310	194378	430633
311	195009	430020
312	195619	429363
313	196251	428753
314	196940	428266
315	197560	427630
316	198165	426962
317	198818	426396
318	199419	425719
319	200037	425079
320	200710	424556
321	201352	423965
322	202003	423394
323	202635	422783
324	203251	422138
325	203896	421551
326	204519	420921
327	205136	420280
328	205751	419632
329	206384	419023
330	207035	418449
331	207638	417778
332	208248	417123
333	208846	416443
334	209480	415834
335	210115	415228
336	210726	414574
337	211357	413960
338	212003	413376
339	212610	412714
340	213240	412098
341	213862	411465
342	214475	410817
343	215087	410166
344	215728	409572
345	216335	408912
346	216986	408334
347	217596	407680
348	218200	407015
349	218811	406364
350	219422	405712
351	220054	405100
352	220713	404536
353	221321	403880
354	221920	403206
355	222540	402572
356	223169	401954
357	223771	401288
358	224407	400683
359	225035	400062
360	225650	399420
361	226290	398822
362	226923	398209
363	227532	397556
364	228193	396994
365	228818	396368
366	229475	395798
367	230135	395232
368	230790	394658
369	231391	393990
370	232013	393359
371	232614	392693
372	233213	392022
373	233835	391392
374	234447	390745
375	235063	390105
376	235713	389520
377	236322	388868
378	236928	388213
379	237566	387608
380	238167	386944
381	238794	386321
382	239422	385701
383	240056	385090
384	240684	384469
385	241364	383931
386	242001	383324
387	242596	382652
388	243202	381996
389	243819	381358
390	244422	380698
391	245034	380052
392	245647	379409
393	246247	378745
394	246855	378094
395	247485	377477
396	248107	376848
397	248744	376241
